Date,Open,High,Low,Close,Adj Close,Volume
13/10/2020,58.650002,58.68,57.68,58.16,58.16,1306200
14/10/2020,57.740002,58.07,57.060001,57.330002,57.330002,1343800
15/10/2020,54.939999,55.279999,54.529999,54.919998,54.919998,2583400
16/10/2020,55.060001,55.68,54.849998,55.419998,55.419998,1495100
19/10/2020,55.950001,56.369999,55.450001,55.529999,55.529999,1395800
20/10/2020,56.919998,57.400002,56.759998,56.919998,56.919998,1607300
21/10/2020,55.68,56.200001,55.470001,55.59,55.59,1227300
22/10/2020,55.060001,56.27,55,56.169998,56.169998,1532800
23/10/2020,57.57,57.709999,56.98,57.59,57.59,1347400
26/10/2020,57.169998,57.169998,55.75,56.669998,56.669998,1656900
27/10/2020,55.779999,56.200001,55.07,55.25,55.25,2052400
28/10/2020,53.299999,53.580002,52.459999,53.02,53.02,4768300
29/10/2020,52.93,54.060001,52.529999,53.389999,53.389999,2458200
30/10/2020,53.360001,53.389999,51.450001,51.91,51.91,2008100
02/11/2020,52.139999,52.439999,51.669998,52.240002,52.240002,1888800
03/11/2020,53.560001,54.459999,53.549999,53.849998,53.849998,1872100
04/11/2020,54.18,54.950001,53.66,54.049999,54.049999,1851000
05/11/2020,56,56.459999,55.689999,56.220001,56.220001,2706100
06/11/2020,57.009998,57.189999,56.389999,56.68,56.68,1362600
09/11/2020,63.049999,64.160004,61.970001,62.52,62.52,6954900
10/11/2020,65.459999,67.150002,65.209999,66.599998,66.599998,4334000
11/11/2020,66.870003,67.349998,66.669998,66.989998,66.989998,2467400
12/11/2020,66.220001,66.43,64.769997,65.040001,65.040001,2623900
13/11/2020,65.459999,66.379997,65.339996,66.360001,66.360001,1558000
16/11/2020,69.300003,69.300003,67.25,68,68,1590900
17/11/2020,66.629997,67.199997,66.410004,66.550003,66.550003,1627700
18/11/2020,66.610001,67.110001,65.889999,65.889999,65.889999,1753100
19/11/2020,65.739998,66.050003,65.260002,65.970001,65.970001,977300
20/11/2020,65.050003,65.529999,64.599998,65.040001,65.040001,1552900
23/11/2020,66.129997,66.580002,65.519997,66.339996,66.339996,1258500
24/11/2020,68.82,69,68.209999,68.889999,68.889999,1918500
25/11/2020,67.900002,68.220001,67.550003,67.989998,67.989998,868200
27/11/2020,67.93,68.690002,67.870003,68.43,68.43,533500
30/11/2020,68.32,68.32,66.400002,66.68,66.68,1622800
